A,13-Mar-2001,35.6,36.88,35.15,36.58,1895400
AA,13-Mar-2001,36.57,37.6,35.37,37.05,3871800
ABB,13-Mar-2001,16.12,16.12,16.12,16.12,400
ABC,13-Mar-2001,12.9125,12.9975,12.5,12.6725,382900
ABM,13-Mar-2001,15.8,16.1,15.75,16,81000
ABT,13-Mar-2001,47.15,48.03,46.29,47.88,2837000
ABX,13-Mar-2001,16.2,16.51,15.95,16.2,1967600
ACE,13-Mar-2001,37.5,37.75,36.8,37.65,830300
ACG,13-Mar-2001,8.22,8.23,8.16,8.19,232400
ACI,13-Mar-2001,12.15,12.375,11.505,12.325,600500
ACP,13-Mar-2001,9.56,9.72,9.35,9.35,10100
ACV,13-Mar-2001,26.9,27,26.34,26.73,316800
ADC,13-Mar-2001,16.51,16.84,16.51,16.65,12200
ADM,13-Mar-2001,14,14.03,13.62,13.9,1224615
ADX,13-Mar-2001,18.36,18.58,18.29,18.48,103900
AED,13-Mar-2001,25.5,25.5,23.5,25.5,5350
AEE,13-Mar-2001,40.31,40.42,39.96,40,472600
AEG,13-Mar-2001,30.48,30.86,30.1,30.77,121367
AEM,13-Mar-2001,7.15,7.35,7.09,7.24,193400
AEO,13-Mar-2001,8.548,8.548,7.961,8.254,9049800
AEP,13-Mar-2001,46.25,46.3,45.69,45.72,723000
AES,13-Mar-2001,53.3,53.3,49,49.26,3548600
AES-C,13-Mar-2001,81.5,81.5,79,80.49,25700
AET,13-Mar-2001,9.28,9.31,9.088,9.238,617200
AF,13-Mar-2001,17.65,18.25,17.35,18.19,1194600
AFG,13-Mar-2001,16.008,16.008,15.368,15.761,84400
AFL,13-Mar-2001,29.6,29.71,28.85,29.63,1752200
AG,13-Mar-2001,10.05,10.19,9.69,10.05,646500
AGCO,13-Mar-2001,10.05,10.19,9.69,10.05,646500
AGM,13-Mar-2001,23.05,23.05,22.89,23,22500
AGM.A,13-Mar-2001,22.2,22.2,21.2,21.35,7300
AGN,13-Mar-2001,33.76,34.715,33.16,34.525,822100
AGU,13-Mar-2001,13.37,13.45,13.1,13.35,439900
AIB,13-Mar-2001,102.5,102.75,101.3,101.55,39500
AIG,13-Mar-2001,1579.8,1595,1550.2,1575.8,5265500
AIN,13-Mar-2001,18.4,18.53,18.3,18.5,257400
AIR,13-Mar-2001,14.3,14.43,13.85,14.35,63000
AIT,13-Mar-2001,7.717,7.724,7.584,7.671,127200
AIV,13-Mar-2001,43.07,43.2,42.85,43.04,312600
AJG,13-Mar-2001,28.66,28.87,28.35,28.87,273400
AKO.A,13-Mar-2001,13.06,13.06,13.05,13.05,4100
AKO.B,13-Mar-2001,10.21,10.21,10.21,10.21,4100
AKR,13-Mar-2001,6.1,6.1,6.1,6.1,700
AKS,13-Mar-2001,9.93,10.29,9.9,10.22,279800
AL,13-Mar-2001,33.81,34.57,33.08,34.43,1211500
ALB,13-Mar-2001,11.675,11.675,11.275,11.625,68100
ALE,13-Mar-2001,27.96,28.14,27.87,28.14,88833
ALG,13-Mar-2001,15,15.35,15,15.2,5600
ALK,13-Mar-2001,6.875,7.095,6.8625,7.095,273000
ALL,13-Mar-2001,40.15,40.15,39.18,39.49,2588200
ALP-O,13-Mar-2001,21.49,21.49,21.35,21.35,3100
ALV,13-Mar-2001,17.3,17.3,16.9,17.22,32200
ALX,13-Mar-2001,65.15,65.15,64.5,65,2300
AM,13-Mar-2001,13.75,14.13,13.55,14.12,184400
AME,13-Mar-2001,4.1205,4.1205,3.9129,4.0111,100200
AMG,13-Mar-2001,33.4,33.69,32.5,32.77,344550
AMT,13-Mar-2001,24.1,24.1,22,22.69,4181200
AMX,13-Mar-2001,2.83,2.86,2.795,2.795,7410300
AN,13-Mar-2001,8.54,8.71,8.45,8.5,2230400
ANF,13-Mar-2001,31.6,32,30.93,31.96,748700
ANH,13-Mar-2001,4.77,4.77,4.75,4.75,2500
AOI,13-Mar-2001,87.2,87.2,71.1,81.7,321500
AON,13-Mar-2001,35.42,35.76,34.81,35.75,1078800
AOS,13-Mar-2001,6.6334,6.6334,6.5167,6.6167,15000
AP,13-Mar-2001,12.25,12.55,12.25,12.55,5400
APA,13-Mar-2001,28.27,28.27,27.11,27.5,5179712
APB,13-Mar-2001,8.3,8.3,8.23,8.28,175100
APC,13-Mar-2001,33.425,33.46,32.25,32.805,2528900
APD,13-Mar-2001,40.45,41.1,39.25,40.8,1080500
APF,13-Mar-2001,8.25,8.39,8.2,8.38,62100
APH,13-Mar-2001,4.3325,4.375,4.1775,4.2875,601200
APU,13-Mar-2001,20.89,20.9,20.5,20.64,73400
ARE,13-Mar-2001,37.47,37.47,37.11,37.26,20000
ARG,13-Mar-2001,9.2,9.32,9.01,9.05,164900
ARL,13-Mar-2001,13,13,13,13,8500
ARW,13-Mar-2001,27.21,28.25,26.85,28.15,952000
ASA,13-Mar-2001,6.6567,6.6567,6.3,6.3667,159500
ASG,13-Mar-2001,9.2,9.35,9.1,9.27,58500
